zip,lat,lng
01026,42.46858,-72.92296
01027,42.29506,-72.74303
01028,42.05967,-72.49899
01029,42.19402,-73.05067
01030,42.06869,-72.67967
01031,42.32782,-72.19191
01032,42.45313,-72.81965
01033,42.26082,-72.50361
01034,42.0826,-72.95611
01035,42.35563,-72.5692
01036,42.0638,-72.4157
01037,42.37063,-72.19466
01038,42.38466,-72.60559
01039,42.41049,-72.69188
01040,42.21251,-72.64109
01050,42.29092,-72.87526
01053,42.35205,-72.71032
01054,42.47381,-72.48768
01056,42.19211,-72.45805
01057,42.09118,-72.32392
01060,42.32218,-72.63126
01062,42.32146,-72.69244
01063,42.31962,-72.63951
01066,42.40742,-72.64032
01068,42.35125,-72.04776
01069,42.18798,-72.30578
01070,42.51958,-72.92504
01071,42.16029,-72.8598
01072,42.46327,-72.41893
01073,42.23084,-72.73856
01074,42.3837,-72.10021
01075,42.25672,-72.57928
01077,42.05441,-72.77851
01079,42.18508,-72.33406
01080,42.18228,-72.36515
01081,42.06232,-72.23085
01082,42.29816,-72.27676
01083,42.20652,-72.19906
01084,42.38589,-72.88165
01085,42.15375,-72.76961
01088,42.38981,-72.6465
01089,42.12532,-72.65025
01092,42.20008,-72.23715
01093,42.44335,-72.65099
01094,42.36481,-72.13548
01095,42.12763,-72.42994
01096,42.40968,-72.77213
01097,42.17722,-72.83175
01098,42.39551,-72.94315
01103,42.10443,-72.58997
01104,42.13326,-72.56733
01105,42.09911,-72.57865
01106,42.04877,-72.57163
01107,42.12116,-72.60642
01108,42.0814,-72.55866
01109,42.11839,-72.54876
01118,42.09476,-72.5253
01119,42.12452,-72.51126
01128,42.09497,-72.48806
01129,42.1211,-72.4877
01144,42.10189,-72.59091
01151,42.15294,-72.50883
01201,42.45614,-73.28114
01220,42.62686,-73.11873
01222,42.06242,-73.32146
01223,42.31118,-73.09835
01224,42.50622,-73.19841
01225,42.56385,-73.1512
01226,42.47954,-73.15329
01229,42.29411,-73.35227
01230,42.18197,-73.34244
01235,42.43181,-73.07336
01236,42.26923,-73.37999
01237,42.5529,-73.25373
01238,42.30072,-73.22553
01240,42.37567,-73.26466
01242,42.3334,-73.24967
01243,42.34752,-73.03467
01244,42.10924,-73.27475
01245,42.19043,-73.21579
01247,42.69813,-73.09264
01253,42.20751,-73.1118
01254,42.37972,-73.36608
01255,42.1068,-73.12213
01256,42.59627,-73.01958
01257,42.0976,-73.37241
01258,42.09396,-73.46616
01259,42.07316,-73.23282
01260,42.26663,-73.2712
01262,42.30433,-73.32013
01264,42.23997,-73.19686
01266,42.30264,-73.39846
01267,42.66593,-73.24209
01270,42.51297,-73.04859
01301,42.62375,-72.60379
01330,42.51772,-72.81556
01331,42.56793,-72.18324
01337,42.69512,-72.57731
01338,42.5814,-72.80309
01339,42.61099,-72.88846
01340,42.68805,-72.73205
01341,42.50734,-72.70221
01342,42.54384,-72.6058
01343,42.66766,-72.98822
01344,42.60756,-72.42916
01346,42.6706,-72.81323
01347,42.56027,-72.51321
01349,42.56656,-72.47045
01350,42.72259,-72.98291
01351,42.54162,-72.52069
01354,42.63282,-72.51136
01355,42.45101,-72.33141
01360,42.67575,-72.446
01364,42.60449,-72.29263
01366,42.48858,-72.18564
01367,42.69674,-72.91387
01368,42.67815,-72.18557
01370,42.59607,-72.72915
01373,42.47292,-72.61516
01375,42.46475,-72.55489
01376,42.59273,-72.54591
01378,42.67711,-72.34057
01379,42.54149,-72.3989
